清单序号,酒店ID,清单酒店名称,携程详情酒店名称,Trip酒店ID,Trip酒店名称,身份核验,采集状态,房型数量,尝试次数,HTTP状态,失败原因,入住日期,离店日期,请求URL,最终详情URL,采集时间
651,702533,曼谷尊贵比左特尔酒店,穰南帝景酒店(Royal View Resort - Rang Nam),702533,Royal View Resort - Rang Nam,酒店ID与携程详情名称一致,成功,7,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-702533/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-702533/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:01:43
652,13998953,曼谷尊贵比左特尔酒店,曼谷中城酒店(Bangkok Midtown Hotel),13998953,Bangkok Midtown Hotel,酒店ID与携程详情名称一致,成功,5,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-13998953/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-13998953/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:01:47
653,86224380,曼谷尊贵比左特尔酒店,PASSA酒店曼谷(Passa Hotel Bangkok),86224380,Passa Hotel Bangkok,酒店ID与携程详情名称一致,成功,4,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-86224380/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-86224380/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:17:12
654,996735,曼谷尊贵比左特尔酒店,"曼谷MUU酒店, 全球奢華精品酒店(MUU Bangkok, Small Luxury Hotels of the World)",996735,"MUU Bangkok, Small Luxury Hotels of the World",酒店ID与携程详情名称一致,成功,9,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-996735/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-996735/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:01:52
655,703041,曼谷尊贵比左特尔酒店,皇家河畔酒店(The Royal River Hotel),703041,The Royal River Hotel,酒店ID与携程详情名称一致,成功,14,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-703041/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-703041/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:01:56
656,701445,曼谷尊贵比左特尔酒店,水晶套房素万那普机场(Crystal Suites Suvarnbhumi Airport),701445,Crystal Suites Suvarnbhumi Airport,酒店ID与携程详情名称一致,成功,5,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-701445/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-701445/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:02:00
657,133326968,曼谷尊贵比左特尔酒店,LILYBETH酒店帕拉图南(LILYBETH HOTEL PRATUNAM),133326968,LILYBETH HOTEL PRATUNAM,酒店ID与携程详情名称一致,成功,8,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-133326968/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-133326968/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:17:16
658,112950210,曼谷尊贵比左特尔酒店,曼谷素坤逸 13 号花庭酒店公寓(Floral Court Hotel & Residence Sukhumvit 13),112950210,Floral Court Hotel & Residence Sukhumvit 13,酒店ID与携程详情名称一致,成功,9,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-112950210/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-112950210/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:02:04
659,996352,曼谷尊贵比左特尔酒店,曼谷阿诺玛酒店(Arnoma Hotel Bangkok),996352,Arnoma Hotel Bangkok,酒店ID与携程详情名称一致,成功,23,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-996352/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-996352/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:17:20
660,86087437,曼谷尊贵比左特尔酒店,曼谷安蔚河畔凯恩酒店(Away Bangkok Riverside Kene),86087437,Away Bangkok Riverside Kene,酒店ID与携程详情名称一致,成功,10,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-86087437/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-86087437/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:02:08
661,701901,曼谷尊贵比左特尔酒店,曼谷海普酒店(Hip Bangkok),701901,Hip Bangkok,酒店ID与携程详情名称一致,成功,2,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-701901/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-701901/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:17:24
662,4123564,曼谷尊贵比左特尔酒店,曼谷河畔安凡尼酒店(Avani Plus Riverside Bangkok Hotel),4123564,Avani Plus Riverside Bangkok Hotel,酒店ID与携程详情名称一致,成功,8,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-4123564/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-4123564/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:02:13
663,702125,曼谷尊贵比左特尔酒店,曼谷马斯酒店(Marsi Hotel Bangkok),702125,Marsi Hotel Bangkok,酒店ID与携程详情名称一致,成功,2,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-702125/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-702125/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:02:17
664,996725,曼谷尊贵比左特尔酒店,茉莉城市酒店(Jasmine City Hotel),996725,Jasmine City Hotel,酒店ID与携程详情名称一致,成功,7,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-996725/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-996725/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:02:22
665,8147849,曼谷尊贵比左特尔酒店,素坤逸路26号曼谷幸运酒店(Lucky Hotel Bangkok),8147849,Lucky Hotel Bangkok,酒店ID与携程详情名称一致,成功,4,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-8147849/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-8147849/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:02:26
666,1708512,曼谷尊贵比左特尔酒店,萨拜沙通酒店式公寓(Sabai Sathorn Service Apartment),1708512,Sabai Sathorn Service Apartment,酒店ID与携程详情名称一致,成功,7,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-1708512/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-1708512/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:02:31
667,14968718,曼谷尊贵比左特尔酒店,素万那普九号公园酒店(The Park Nine Hotel Suvarnabhumi),14968718,The Park Nine Hotel Suvarnabhumi,酒店ID与携程详情名称一致,成功,10,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-14968718/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-14968718/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:02:35
668,44127673,曼谷尊贵比左特尔酒店,曼谷城市连锁酒店(Bangkok City Link Hotel),44127673,Bangkok City Link Hotel,酒店ID与携程详情名称一致,成功,6,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-44127673/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-44127673/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:17:28
669,91723108,曼谷尊贵比左特尔酒店,素坤逸48号温德姆华美达广场酒店(Ramada Plaza by Wyndham Bangkok Sukhumvit 48),91723108,Ramada Plaza by Wyndham Bangkok Sukhumvit 48,酒店ID与携程详情名称一致,成功,6,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-91723108/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-91723108/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:02:39
670,996716,曼谷尊贵比左特尔酒店,美樂沙吞酒店(Miloft Sathorn Hotel),996716,Miloft Sathorn Hotel,酒店ID与携程详情名称一致,成功,6,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-996716/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-996716/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:02:43
671,702114,曼谷尊贵比左特尔酒店,枫叶酒店(Maple Hotel),702114,Maple Hotel,酒店ID与携程详情名称一致,成功,10,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-702114/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-702114/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:02:47
672,129179707,曼谷尊贵比左特尔酒店,美味之家(Yummy House),129179707,Yummy House,酒店ID与携程详情名称一致,成功,3,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-129179707/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-129179707/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:02:52
673,81067775,曼谷尊贵比左特尔酒店,曼谷素坤逸社区by蒙特拉吉(Quartier by Montraj Sukhumvit Bangkok),81067775,Quartier by Montraj Sukhumvit Bangkok,酒店ID与携程详情名称一致,成功,3,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-81067775/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-81067775/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:02:56
674,13660499,曼谷尊贵比左特尔酒店,雷诺酒店曼谷(Reno Hotel),13660499,Reno Hotel,酒店ID与携程详情名称一致,成功,10,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-13660499/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-13660499/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:03:00
675,7303749,曼谷尊贵比左特尔酒店,"顶高机场连结酒店(Top High Airport Link Hotel, Bangkok)",7303749,"Top High Airport Link Hotel, Bangkok",酒店ID与携程详情名称一致,成功,3,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-7303749/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-7303749/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:03:04
676,132461702,曼谷尊贵比左特尔酒店,廊曼机场IU酒店(IU Hotel Don Mueang Airport),132461702,IU Hotel Don Mueang Airport,酒店ID与携程详情名称一致,成功,2,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-132461702/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-132461702/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:03:08
677,701990,曼谷尊贵比左特尔酒店,水门 KC 广场酒店(KC Place Hotel Pratunam),701990,KC Place Hotel Pratunam,酒店ID与携程详情名称一致,成功,4,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-701990/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-701990/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:03:12
678,703036,曼谷尊贵比左特尔酒店,拉吉塔维住所酒店(The Residence Rajtaevee Hotel),703036,The Residence Rajtaevee Hotel,酒店ID与携程详情名称一致,成功,4,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-703036/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-703036/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:03:17
679,996754,曼谷尊贵比左特尔酒店,璀璨专享服务酒店(Abloom Exclusive Serviced Apartments),996754,Abloom Exclusive Serviced Apartments,酒店ID与携程详情名称一致,成功,5,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-996754/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-996754/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:03:21
680,82085191,曼谷尊贵比左特尔酒店,里斯基酒店-邦帕拉特站(The Riski Hotel at Bangphlat Station),82085191,The Riski Hotel at Bangphlat Station,酒店ID与携程详情名称一致,成功,6,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-82085191/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-82085191/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:03:25
681,700739,曼谷尊贵比左特尔酒店,曼谷大使酒店(Ambassador Hotel Bangkok),700739,Ambassador Hotel Bangkok,酒店ID与携程详情名称一致,成功,21,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-700739/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-700739/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:03:30
682,90957672,曼谷尊贵比左特尔酒店,FX纳娜酒店(FX Hotel Nana),90957672,FX Hotel Nana,酒店ID与携程详情名称一致,成功,1,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-90957672/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-90957672/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:03:34
683,24738513,曼谷尊贵比左特尔酒店,素坤逸钥匙精品酒店(The Key Premier Hotel Sukhumvit Bangkok),24738513,The Key Premier Hotel Sukhumvit Bangkok,酒店ID与携程详情名称一致,成功,6,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-24738513/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-24738513/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:03:39
684,3003104,曼谷尊贵比左特尔酒店,伊丽莎白酒店(Elizabeth Hotel),3003104,Elizabeth Hotel,酒店ID与携程详情名称一致,成功,8,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-3003104/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-3003104/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:03:43
685,4661916,曼谷尊贵比左特尔酒店,曼谷天空风景酒店 - Em District(SKYVIEW Hotel Bangkok - Em District),4661916,SKYVIEW Hotel Bangkok - Em District,酒店ID与携程详情名称一致,成功,9,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-4661916/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-4661916/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:03:47
686,7703208,曼谷尊贵比左特尔酒店,素坤逸57号萨利酒店(The Salil Hotel Sukhumvit 57 - Thonglor),7703208,The Salil Hotel Sukhumvit 57 - Thonglor,酒店ID与携程详情名称一致,成功,3,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-7703208/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-7703208/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:03:51
687,702901,曼谷尊贵比左特尔酒店,曼谷欧陆酒店 - 曼谷素坤逸/阿索克地铁站(Montraj Continent Sukhumvit Bangkok),702901,Montraj Continent Sukhumvit Bangkok,酒店ID与携程详情名称一致,成功,10,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-702901/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-702901/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:03:55
688,703053,曼谷尊贵比左特尔酒店,暹罗传统酒店(The Siam Heritage Hotel),703053,The Siam Heritage Hotel,酒店ID与携程详情名称一致,成功,5,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-703053/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-703053/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:03:59
689,120171671,曼谷尊贵比左特尔酒店,舒适廊曼酒店(Cozy Donmueang Hotel),120171671,Cozy Donmueang Hotel,酒店ID与携程详情名称一致,成功,8,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-120171671/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-120171671/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:04:04
690,25657104,曼谷尊贵比左特尔酒店,考山和平之地酒店(Peace Land Khaosan),25657104,Peace Land Khaosan,酒店ID与携程详情名称一致,成功,6,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-25657104/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-25657104/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:04:08
691,12143984,曼谷尊贵比左特尔酒店,素坤逸 6 巷希鲁斯套房 - 康帕斯酒店集团(Citrus Suites Sukhumvit 6 by Compass Hospitality),12143984,Citrus Suites Sukhumvit 6 by Compass Hospitality,酒店ID与携程详情名称一致,成功,8,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-12143984/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-12143984/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:04:12
692,700748,曼谷尊贵比左特尔酒店,曼谷河畔安纳塔拉度假村(Anantara Riverside Bangkok Resort),700748,Anantara Riverside Bangkok Resort,酒店ID与携程详情名称一致,成功,8,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-700748/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-700748/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:04:16
693,996700,曼谷尊贵比左特尔酒店,曼谷素坤逸10巷格乐丽雅酒店(Galleria 10 Hotel Bangkok),996700,Galleria 10 Hotel Bangkok,酒店ID与携程详情名称一致,成功,4,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-996700/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-996700/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:04:21
694,702297,曼谷尊贵比左特尔酒店,941曼谷酒店(The Nine Forty One Hotel),702297,The Nine Forty One Hotel,酒店ID与携程详情名称一致,成功,4,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-702297/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-702297/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 17:04:25
695,1721184,曼谷尊贵比左特尔酒店,曼谷康莱德酒店公寓(Conrad Bangkok Residences),1721184,Conrad Bangkok Residences,酒店ID与携程详情名称一致,成功,6,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-1721184/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-1721184/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:17:32
696,1549991,曼谷尊贵比左特尔酒店,娜娜阿尔特酒店 - UHG(Alt Hotel Nana by UHG),1549991,Alt Hotel Nana by UHG,酒店ID与携程详情名称一致,成功,5,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-1549991/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-1549991/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:17:36
697,107850091,曼谷尊贵比左特尔酒店,曼谷舍温酒店(Shewin de Bangkok),107850091,Shewin de Bangkok,酒店ID与携程详情名称一致,成功,8,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-107850091/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-107850091/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:17:40
